The data were extracted from the website http://www.fundamentus.com.br in October 2016.;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
ASSETS;P/L;P/VP;P/EBIT;PSR;P/Ativos;P/Cap. Giro;P/Ativ Circ Liq;Div. Yield;EV / EBIT;Giro Ativos;Cres. Rec (5a);LPA;VPA;Marg. Bruta;Marg. EBIT;Marg. Líquida;EBIT / Ativo;ROIC;ROE;Liquidez Corr;Div Br/ Patrim;N. AÇÕES
HGTX3;11,1;2,57;14,19;1,94;2,07;4,27;4,51;0,05;13,19;1,06;0,02;1,69;7,29;0,39;0,14;0,18;0,15;0,19;0,23;3,84;0;161.228.000
HYPE3;11,71;1,99;19,23;8,41;1,39;3,37;5,47;0,02;19,26;0,16;-0,07;2,44;14,34;0,89;0,44;0,72;0,07;0,09;0,17;3,82;0,21;632.238.000
IGTA3;30,35;1,95;14,46;7,97;1,04;91,14;-2,94;0,01;19,25;0,13;0,17;0,97;15,19;0,68;0,55;0,27;0,07;0,08;0,06;1,12;0,76;176.612.000
ITSA4;7,02;1,4;546,96;13,55;1,15;20,6;-61,87;0,05;555,38;0,08;-0,03;1,25;6,27;0,22;0,03;1,94;0;0;0,2;2,07;0,08;7.430.110.000
ITUB4;11,72;1,99;0;0;0;0;0;0,04;0;0;0,21;3,24;19,04;0;0;0;0;0;0,17;0;0;5.983.920.000
JBSS3;18,31;1,56;5,07;0,2;0,35;10,68;-0,86;0,03;12,02;1,75;0,28;0,69;8,07;0,12;0,04;0,01;0,07;0,09;0,09;1,1;2,5;2.856.860.000
KLBN11;10,27;2,11;8,89;2,52;0,56;2,87;-1,34;0,03;15,36;0,22;0,11;1,61;7,84;0,42;0,28;0,25;0,06;0,08;0,21;2,53;2,32;4.733.180.000
KROT3;15,02;1,93;16,56;4,96;1,5;20,72;-17,47;0,02;16,42;0,3;0,54;1,06;8,26;0,59;0,3;0,33;0,09;0,1;0,13;2,12;0,05;1.626.070.000
LAME3;88,52;12,29;10,17;1,19;1,12;5,05;-3,63;0,01;13,74;0,95;0,15;0,17;1,21;0,3;0,12;0;0,11;0,18;0,14;1,71;6,45;1.413.340.000
LAME4;122,33;16,98;14,05;1,64;1,55;6,99;-5,02;0;17,62;0,95;0,15;0,17;1,21;0,3;0,12;0;0,11;0,18;0,14;1,71;6,45;1.413.340.000
LIGT3;-39,8;0,95;5,41;0,35;0,24;-3,6;-0,47;0;15,16;0,69;0,38;-0,42;17,69;0,16;0,07;-0,01;0,04;0,05;-0,02;0,78;1,88;203.934.000
LREN3;27,89;7,14;9,14;2,59;2,82;14,16;-5.452,04;0,02;9,86;1,09;0,17;0,91;3,57;0,6;0,28;0,09;0,31;0,4;0,26;1,49;0,91;642.853.000
MGLU3;-35,01;2,9;5,27;0,22;0,39;20,95;-1,31;0;8,06;1,81;0,07;-2,58;31,2;0,3;0,04;-0,01;0,07;0,13;-0,08;1,03;2,51;21.624.000
MILS3;-7,14;0,78;-13,77;1,63;0,49;2,44;-12,29;0;-16,84;0,3;-0,11;-0,65;5,97;0,32;-0,12;-0,23;-0,04;-0,05;-0,11;2,66;0,51;175.586.000
MPLU3;13,38;27,34;12,81;3,14;3,55;45,54;45,87;0,07;10,4;1,13;0,13;3,29;1,61;0,33;0,25;0,24;0,28;1,12;2,04;1,09;0;162.247.000
MRFG3;-11,98;1,93;2,16;0,16;0,15;1,72;-0,31;0;6,4;0,88;-0,05;-0,47;2,94;0,13;0,08;-0,01;0,07;0,1;-0,16;1,24;7,17;521.301.000
MRVE3;9,94;1,08;8,21;1,21;0,47;1,55;14,81;0,03;8,95;0,39;0,02;1,23;11,3;0,32;0,15;0,13;0,06;0,07;0,11;2,1;0,42;444.140.000
MULT3;45,41;2,83;18,14;11,1;1,72;40,21;-6,03;0,02;20,93;0,15;0,07;1,4;22,51;0,77;0,61;0,34;0,1;0,1;0,06;1,67;0,51;189.997.000
MYPK3;-120,3;0,97;4,06;0,24;0,25;-15,82;-0,66;0,01;10,09;1,02;0,11;-0,15;18,9;0,14;0,06;0,01;0,06;0,08;-0,01;0,96;1,72;94.863.000
NATU3;45,15;17,04;12,2;1,68;1,59;25,87;-5,12;0,01;14,42;0,95;0,08;0,69;1,84;0,69;0,14;0,04;0,13;0,2;0,38;1,12;5,97;431.239.000
ODPV3;30,12;10,25;18,1;4,96;5,21;29,35;-67,8;0,03;17,09;1,05;0,1;0,41;1,2;0,52;0,27;0,17;0,29;0,41;0,34;1,76;-;531.295.000
OIBR3;-0,41;0,29;1,24;0,11;0,04;-0,09;-0,07;0;18,43;0,35;0,11;-8,86;12,63;0,4;0,09;-0,29;0,03;0,04;-0,7;0,44;4,47;825.761.000
OIBR4;-0,33;0,23;0,98;0,09;0,03;-0,07;-0,06;0;18,17;0,35;0,11;-8,86;12,63;0,4;0,09;-0,29;0,03;0,04;-0,7;0,44;4,47;825.761.000
PCAR4;-45,21;1,4;5,08;0,2;0,34;-6,38;-1,46;0;6,98;1,67;0,1;-1,18;38,04;0,23;0,04;-0,02;0,07;0,1;-0,03;0,9;0,89;265.767.000
PDGR3;-0,04;0,16;-0,19;0,13;0,01;-0,06;-0,03;0;-4,63;0,11;-0,33;-71,6;15,95;-0,3;-0,69;-3,83;-0,07;-0,08;-4,49;0,66;4,02;49.193.000
PETR3;-5,36;0,82;3,39;0,72;0,27;4,55;-0,54;0;8,46;0,38;0,05;-3,19;20,81;0,31;0,21;-0,13;0,08;0,09;-0,15;1,58;1,47;13.044.500.000
PETR4;-4,83;0,74;3,06;0,65;0,25;4,1;-0,49;0;8,12;0,38;0,05;-3,19;20,81;0,31;0,21;-0,13;0,08;0,09;-0,15;1,58;1,47;13.044.500.000
POMO4;44,82;1,78;25,3;1,22;0,69;2,65;-22,34;0;33,35;0,56;-0,09;0,07;1,89;0,17;0,05;0,03;0,03;0,04;0,04;1,83;1,18;909.008.000
PRML3;-28,16;0,94;-12,9;3.883,27;0,35;15,1;-0,68;0;-30,21;0;-0,51;-0,25;7,39;-138,11;-301,1;-121,54;-0,03;-0,03;-0,03;1,35;1,43;376.017.000
PSSA3;11,08;1,49;0,81;0,64;0,43;2,48;18,93;0,04;0,1;0,68;0,37;2,82;20,91;1;0,79;0,06;0,53;0,85;0,14;1,31;0;323.293.000
QGEP3;-779,05;0,52;6,7;2,72;0,41;1,24;2,31;0,03;3,11;0,15;0,07;-0,01;10,01;0,5;0,41;0;0,06;0,1;0;5,72;0,14;265.807.000
QUAL3;15,01;2,73;10,59;3,07;1,62;-562,84;-8,56;0,11;10,92;0,53;0,24;1,36;7,47;0,74;0,29;0,21;0,15;0,18;0,18;0,99;0,26;278.794.000
RADL3;54,48;8,08;35,91;2,21;4,56;20,3;33,33;0,01;36,34;2,07;0,23;1,23;8,3;0,31;0,06;0,04;0,13;0,17;0,15;1,66;0,12;330.386.000
